127.0.0.1 - - [14/Jan/2026:19:28:19 +0900] "GET / HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:28:22 +0900] "GET /%EC%95%BD%EA%B5%AD/addProduct.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:28:22 +0900] "GET /%EC%95%BD%EA%B5%AD/login.jsp HTTP/1.1" 200 1606
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:28:22 +0900] "GET /favicon.ico HTTP/1.1" 404 819
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:28:24 +0900] "POST /%EC%95%BD%EA%B5%AD/loginCheck.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:28:24 +0900] "GET /%EC%95%BD%EA%B5%AD/index2.jsp HTTP/1.1" 200 46934
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:30:29 +0900] "GET /%EC%95%BD%EA%B5%AD/index2.jsp HTTP/1.1" 200 28863
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:30:30 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:30:30 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:30:32 +0900] "POST /%EC%95%BD%EA%B5%AD/quantityData.jsp HTTP/1.1" 200 818
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:30:38 +0900] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 864
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:31:02 +0900] "GET /%EC%95%BD%EA%B5%AD/addProduct.jsp HTTP/1.1" 200 6380
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:31:02 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:31:02 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:38:07 +0900] "GET /%EC%95%BD%EA%B5%AD/index2.jsp HTTP/1.1" 200 28863
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:38:07 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:38:07 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:38:07 +0900] "GET /%EC%95%BD%EA%B5%AD/index2.jsp HTTP/1.1" 200 28863
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:38:07 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
0:0:0:0:0:0:0:1 - - [14/Jan/2026:19:38:07 +0900] "POST /%EC%95%BD%EA%B5%AD/backup.jsp HTTP/1.1" 200 22
